dataset_name,model_name,mode,status,result
corn_factors_daily_v2,random_forest,formal,SKIPPED_COMPLETED,
corn_factors_daily_v2,xgboost,formal,SKIPPED_COMPLETED,
corn_factors_daily_v2,lstm,formal,SKIPPED_COMPLETED,
corn_factors_daily_v2,svr,formal,SKIPPED_COMPLETED,
corn_factors_daily_v2,knn,formal,SKIPPED_COMPLETED,
corn_factors_daily_v2,dlinear,formal,SKIPPED_COMPLETED,
corn_factors_daily_v2,lightgbm,formal,PASS,"{""run_id"": ""2026-07-21-11-29-40-model-catalog-autodl"", ""status"": ""COMPLETED"", ""runner"": ""model-catalog-autodl"", ""started_at"": ""2026-07-21 11:29:40.719967"", ""operating_system"": ""Linux-5.15.0-101-generic-x86_64-with-glibc2.35"", ""python"": ""3.11.15 (main, Jun 11 2026, 15:20:16) [GCC 14.3.0]"", ""scikit_learn"": ""1.7.2"", ""torch"": null, ""xgboost"": null, ""model_dependency"": {""name"": ""lightgbm"", ""version"": ""4.6.0""}, ""model_source"": ""https://github.com/microsoft/LightGBM"", ""source_commit"": null, ""data_sha256"": ""B4AF1E478F69FE4BE55C29B5147CA7794CC06BC30823F7A57AE1E5D7DFD98191"", ""finished_at"": ""2026-07-21 11:34:12.249781"", ""n_predictions"": 22488, ""n_metric_rows"": 48, ""n_failures"": 0, ""results_path"": ""results/corn_factors_daily_v2/lightgbm/2026-07-21-11-29-40-model-catalog-autodl"", ""checkpoints_path"": ""checkpoints/corn_factors_daily_v2/lightgbm/2026-07-21-11-29-40-model-catalog-autodl"", ""report_path"": ""report/corn_factors_daily_v2/lightgbm/2026-07-21-11-29-40-model-catalog-autodl""}"
corn_飞天_daily_factors_v2,random_forest,formal,PASS,"{""run_id"": ""2026-07-21-11-34-12-model-catalog-autodl"", ""status"": ""COMPLETED"", ""runner"": ""model-catalog-autodl"", ""started_at"": ""2026-07-21 11:34:12.289450"", ""operating_system"": ""Linux-5.15.0-101-generic-x86_64-with-glibc2.35"", ""python"": ""3.11.15 (main, Jun 11 2026, 15:20:16) [GCC 14.3.0]"", ""scikit_learn"": ""1.7.2"", ""torch"": null, ""xgboost"": null, ""model_dependency"": null, ""model_source"": ""https://scikit-learn.org/stable/modules/generated/sklearn.ensemble.RandomForestRegressor.html"", ""source_commit"": null, ""data_sha256"": ""2B66E514EABFD598455F7D552074171EABF91327EE043DC0D61A6DFB7DEE1813"", ""finished_at"": ""2026-07-21 11:35:25.268731"", ""n_predictions"": 22488, ""n_metric_rows"": 48, ""n_failures"": 0, ""results_path"": ""results/corn_飞天_daily_factors_v2/random_forest/2026-07-21-11-34-12-model-catalog-autodl"", ""checkpoints_path"": ""checkpoints/corn_飞天_daily_factors_v2/random_forest/2026-07-21-11-34-12-model-catalog-autodl"", ""report_path"": ""report/corn_飞天_daily_factors_v2/random_forest/2026-07-21-11-34-12-model-catalog-autodl""}"
corn_飞天_daily_factors_v2,svr,formal,PASS,"{""run_id"": ""2026-07-21-11-35-25-model-catalog-autodl"", ""status"": ""COMPLETED"", ""runner"": ""model-catalog-autodl"", ""started_at"": ""2026-07-21 11:35:25.291869"", ""operating_system"": ""Linux-5.15.0-101-generic-x86_64-with-glibc2.35"", ""python"": ""3.11.15 (main, Jun 11 2026, 15:20:16) [GCC 14.3.0]"", ""scikit_learn"": ""1.7.2"", ""torch"": null, ""xgboost"": null, ""model_dependency"": null, ""model_source"": ""https://scikit-learn.org/stable/modules/generated/sklearn.svm.SVR.html"", ""source_commit"": null, ""data_sha256"": ""2B66E514EABFD598455F7D552074171EABF91327EE043DC0D61A6DFB7DEE1813"", ""finished_at"": ""2026-07-21 11:36:15.564869"", ""n_predictions"": 22488, ""n_metric_rows"": 48, ""n_failures"": 0, ""results_path"": ""results/corn_飞天_daily_factors_v2/svr/2026-07-21-11-35-25-model-catalog-autodl"", ""checkpoints_path"": ""checkpoints/corn_飞天_daily_factors_v2/svr/2026-07-21-11-35-25-model-catalog-autodl"", ""report_path"": ""report/corn_飞天_daily_factors_v2/svr/2026-07-21-11-35-25-model-catalog-autodl""}"
corn_飞天_daily_factors_v2,knn,formal,PASS,"{""run_id"": ""2026-07-21-11-36-15-model-catalog-autodl"", ""status"": ""COMPLETED"", ""runner"": ""model-catalog-autodl"", ""started_at"": ""2026-07-21 11:36:15.586991"", ""operating_system"": ""Linux-5.15.0-101-generic-x86_64-with-glibc2.35"", ""python"": ""3.11.15 (main, Jun 11 2026, 15:20:16) [GCC 14.3.0]"", ""scikit_learn"": ""1.7.2"", ""torch"": null, ""xgboost"": null, ""model_dependency"": null, ""model_source"": ""https://scikit-learn.org/stable/modules/generated/sklearn.neighbors.KNeighborsRegressor.html"", ""source_commit"": null, ""data_sha256"": ""2B66E514EABFD598455F7D552074171EABF91327EE043DC0D61A6DFB7DEE1813"", ""finished_at"": ""2026-07-21 11:36:37.499741"", ""n_predictions"": 22488, ""n_metric_rows"": 48, ""n_failures"": 0, ""results_path"": ""results/corn_飞天_daily_factors_v2/knn/2026-07-21-11-36-15-model-catalog-autodl"", ""checkpoints_path"": ""checkpoints/corn_飞天_daily_factors_v2/knn/2026-07-21-11-36-15-model-catalog-autodl"", ""report_path"": ""report/corn_飞天_daily_factors_v2/knn/2026-07-21-11-36-15-model-catalog-autodl""}"
corn_factors_daily_v2,catboost,formal,PASS,"{""run_id"": ""2026-07-21-11-29-40-model-catalog-autodl"", ""status"": ""COMPLETED"", ""runner"": ""model-catalog-autodl"", ""started_at"": ""2026-07-21 11:29:40.619308"", ""operating_system"": ""Linux-5.15.0-101-generic-x86_64-with-glibc2.35"", ""python"": ""3.11.15 (main, Jun 11 2026, 15:20:16) [GCC 14.3.0]"", ""scikit_learn"": ""1.7.2"", ""torch"": null, ""xgboost"": null, ""model_dependency"": {""name"": ""catboost"", ""version"": ""1.2.8""}, ""model_source"": ""https://github.com/catboost/catboost"", ""source_commit"": null, ""data_sha256"": ""B4AF1E478F69FE4BE55C29B5147CA7794CC06BC30823F7A57AE1E5D7DFD98191"", ""finished_at"": ""2026-07-21 11:38:39.939500"", ""n_predictions"": 22488, ""n_metric_rows"": 48, ""n_failures"": 0, ""results_path"": ""results/corn_factors_daily_v2/catboost/2026-07-21-11-29-40-model-catalog-autodl"", ""checkpoints_path"": ""checkpoints/corn_factors_daily_v2/catboost/2026-07-21-11-29-40-model-catalog-autodl"", ""report_path"": ""report/corn_factors_daily_v2/catboost/2026-07-21-11-29-40-model-catalog-autodl""}"
corn_factors_daily_v2,rnn,formal,PASS,"{""run_id"": ""2026-07-21-11-38-39-model-catalog-autodl"", ""status"": ""COMPLETED"", ""runner"": ""model-catalog-autodl"", ""started_at"": ""2026-07-21 11:38:39.987149"", ""operating_system"": ""Linux-5.15.0-101-generic-x86_64-with-glibc2.35"", ""python"": ""3.11.15 (main, Jun 11 2026, 15:20:16) [GCC 14.3.0]"", ""scikit_learn"": ""1.7.2"", ""torch"": ""2.12.1+cu130"", ""xgboost"": null, ""model_dependency"": null, ""model_source"": ""https://pytorch.org/docs/stable/generated/torch.nn.RNN.html"", ""source_commit"": null, ""data_sha256"": ""B4AF1E478F69FE4BE55C29B5147CA7794CC06BC30823F7A57AE1E5D7DFD98191"", ""finished_at"": ""2026-07-21 11:41:08.928026"", ""n_predictions"": 22488, ""n_metric_rows"": 48, ""n_failures"": 0, ""results_path"": ""results/corn_factors_daily_v2/rnn/2026-07-21-11-38-39-model-catalog-autodl"", ""checkpoints_path"": ""checkpoints/corn_factors_daily_v2/rnn/2026-07-21-11-38-39-model-catalog-autodl"", ""report_path"": ""report/corn_factors_daily_v2/rnn/2026-07-21-11-38-39-model-catalog-autodl""}"
corn_factors_daily_v2,lnn,formal,PASS,"{""run_id"": ""2026-07-21-11-41-08-model-catalog-autodl"", ""status"": ""COMPLETED"", ""runner"": ""model-catalog-autodl"", ""started_at"": ""2026-07-21 11:41:08.975407"", ""operating_system"": ""Linux-5.15.0-101-generic-x86_64-with-glibc2.35"", ""python"": ""3.11.15 (main, Jun 11 2026, 15:20:16) [GCC 14.3.0]"", ""scikit_learn"": ""1.7.2"", ""torch"": ""2.12.1+cu130"", ""xgboost"": null, ""model_dependency"": null, ""model_source"": ""https://arxiv.org/abs/2006.04439"", ""source_commit"": null, ""data_sha256"": ""B4AF1E478F69FE4BE55C29B5147CA7794CC06BC30823F7A57AE1E5D7DFD98191"", ""finished_at"": ""2026-07-21 11:50:28.119260"", ""n_predictions"": 22488, ""n_metric_rows"": 48, ""n_failures"": 0, ""results_path"": ""results/corn_factors_daily_v2/lnn/2026-07-21-11-41-08-model-catalog-autodl"", ""checkpoints_path"": ""checkpoints/corn_factors_daily_v2/lnn/2026-07-21-11-41-08-model-catalog-autodl"", ""report_path"": ""report/corn_factors_daily_v2/lnn/2026-07-21-11-41-08-model-catalog-autodl""}"
corn_飞天_daily_factors_v2,gradient_boosting,formal,PASS,"{""run_id"": ""2026-07-21-11-36-37-model-catalog-autodl"", ""status"": ""COMPLETED"", ""runner"": ""model-catalog-autodl"", ""started_at"": ""2026-07-21 11:36:37.520620"", ""operating_system"": ""Linux-5.15.0-101-generic-x86_64-with-glibc2.35"", ""python"": ""3.11.15 (main, Jun 11 2026, 15:20:16) [GCC 14.3.0]"", ""scikit_learn"": ""1.7.2"", ""torch"": null, ""xgboost"": null, ""model_dependency"": null, ""model_source"": ""https://scikit-learn.org/stable/modules/generated/sklearn.ensemble.GradientBoostingRegressor.html"", ""source_commit"": null, ""data_sha256"": ""2B66E514EABFD598455F7D552074171EABF91327EE043DC0D61A6DFB7DEE1813"", ""finished_at"": ""2026-07-21 11:53:50.278883"", ""n_predictions"": 22488, ""n_metric_rows"": 48, ""n_failures"": 0, ""results_path"": ""results/corn_飞天_daily_factors_v2/gradient_boosting/2026-07-21-11-36-37-model-catalog-autodl"", ""checkpoints_path"": ""checkpoints/corn_飞天_daily_factors_v2/gradient_boosting/2026-07-21-11-36-37-model-catalog-autodl"", ""report_path"": ""report/corn_飞天_daily_factors_v2/gradient_boosting/2026-07-21-11-36-37-model-catalog-autodl""}"
corn_factors_daily_v2,simpletm,formal,PASS,"{""run_id"": ""2026-07-21-11-50-28-model-catalog-autodl"", ""status"": ""COMPLETED"", ""runner"": ""model-catalog-autodl"", ""started_at"": ""2026-07-21 11:50:28.164542"", ""operating_system"": ""Linux-5.15.0-101-generic-x86_64-with-glibc2.35"", ""python"": ""3.11.15 (main, Jun 11 2026, 15:20:16) [GCC 14.3.0]"", ""scikit_learn"": ""1.7.2"", ""torch"": ""2.12.1+cu130"", ""xgboost"": null, ""model_dependency"": null, ""model_source"": ""independent Transformer price-regression adaptation"", ""source_commit"": null, ""data_sha256"": ""B4AF1E478F69FE4BE55C29B5147CA7794CC06BC30823F7A57AE1E5D7DFD98191"", ""finished_at"": ""2026-07-21 11:54:16.676960"", ""n_predictions"": 22488, ""n_metric_rows"": 48, ""n_failures"": 0, ""results_path"": ""results/corn_factors_daily_v2/simpletm/2026-07-21-11-50-28-model-catalog-autodl"", ""checkpoints_path"": ""checkpoints/corn_factors_daily_v2/simpletm/2026-07-21-11-50-28-model-catalog-autodl"", ""report_path"": ""report/corn_factors_daily_v2/simpletm/2026-07-21-11-50-28-model-catalog-autodl""}"
corn_飞天_daily_factors_v2,lightgbm,formal,PASS,"{""run_id"": ""2026-07-21-11-53-50-model-catalog-autodl"", ""status"": ""COMPLETED"", ""runner"": ""model-catalog-autodl"", ""started_at"": ""2026-07-21 11:53:50.300751"", ""operating_system"": ""Linux-5.15.0-101-generic-x86_64-with-glibc2.35"", ""python"": ""3.11.15 (main, Jun 11 2026, 15:20:16) [GCC 14.3.0]"", ""scikit_learn"": ""1.7.2"", ""torch"": null, ""xgboost"": null, ""model_dependency"": {""name"": ""lightgbm"", ""version"": ""4.6.0""}, ""model_source"": ""https://github.com/microsoft/LightGBM"", ""source_commit"": null, ""data_sha256"": ""2B66E514EABFD598455F7D552074171EABF91327EE043DC0D61A6DFB7DEE1813"", ""finished_at"": ""2026-07-21 11:55:55.016077"", ""n_predictions"": 22488, ""n_metric_rows"": 48, ""n_failures"": 0, ""results_path"": ""results/corn_飞天_daily_factors_v2/lightgbm/2026-07-21-11-53-50-model-catalog-autodl"", ""checkpoints_path"": ""checkpoints/corn_飞天_daily_factors_v2/lightgbm/2026-07-21-11-53-50-model-catalog-autodl"", ""report_path"": ""report/corn_飞天_daily_factors_v2/lightgbm/2026-07-21-11-53-50-model-catalog-autodl""}"
corn_factors_daily_v2,tcn,formal,PASS,"{""run_id"": ""2026-07-21-11-54-16-model-catalog-autodl"", ""status"": ""COMPLETED"", ""runner"": ""model-catalog-autodl"", ""started_at"": ""2026-07-21 11:54:16.733703"", ""operating_system"": ""Linux-5.15.0-101-generic-x86_64-with-glibc2.35"", ""python"": ""3.11.15 (main, Jun 11 2026, 15:20:16) [GCC 14.3.0]"", ""scikit_learn"": ""1.7.2"", ""torch"": ""2.12.1+cu130"", ""xgboost"": null, ""model_dependency"": null, ""model_source"": ""https://arxiv.org/abs/1803.01271"", ""source_commit"": null, ""data_sha256"": ""B4AF1E478F69FE4BE55C29B5147CA7794CC06BC30823F7A57AE1E5D7DFD98191"", ""finished_at"": ""2026-07-21 11:56:57.437005"", ""n_predictions"": 22488, ""n_metric_rows"": 48, ""n_failures"": 0, ""results_path"": ""results/corn_factors_daily_v2/tcn/2026-07-21-11-54-16-model-catalog-autodl"", ""checkpoints_path"": ""checkpoints/corn_factors_daily_v2/tcn/2026-07-21-11-54-16-model-catalog-autodl"", ""report_path"": ""report/corn_factors_daily_v2/tcn/2026-07-21-11-54-16-model-catalog-autodl""}"
corn_factors_daily_v2,raft,formal,PASS,"{""run_id"": ""2026-07-21-11-56-57-model-catalog-autodl"", ""status"": ""COMPLETED"", ""runner"": ""model-catalog-autodl"", ""started_at"": ""2026-07-21 11:56:57.477161"", ""operating_system"": ""Linux-5.15.0-101-generic-x86_64-with-glibc2.35"", ""python"": ""3.11.15 (main, Jun 11 2026, 15:20:16) [GCC 14.3.0]"", ""scikit_learn"": ""1.7.2"", ""torch"": ""2.12.1+cu130"", ""xgboost"": null, ""model_dependency"": null, ""model_source"": ""https://github.com/archon159/RAFT"", ""source_commit"": null, ""data_sha256"": ""B4AF1E478F69FE4BE55C29B5147CA7794CC06BC30823F7A57AE1E5D7DFD98191"", ""finished_at"": ""2026-07-21 11:59:31.300503"", ""n_predictions"": 22488, ""n_metric_rows"": 48, ""n_failures"": 0, ""results_path"": ""results/corn_factors_daily_v2/raft/2026-07-21-11-56-57-model-catalog-autodl"", ""checkpoints_path"": ""checkpoints/corn_factors_daily_v2/raft/2026-07-21-11-56-57-model-catalog-autodl"", ""report_path"": ""report/corn_factors_daily_v2/raft/2026-07-21-11-56-57-model-catalog-autodl""}"
corn_factors_daily_v2,mafs,formal,PASS,"{""run_id"": ""2026-07-21-11-59-31-model-catalog-autodl"", ""status"": ""COMPLETED"", ""runner"": ""model-catalog-autodl"", ""started_at"": ""2026-07-21 11:59:31.339255"", ""operating_system"": ""Linux-5.15.0-101-generic-x86_64-with-glibc2.35"", ""python"": ""3.11.15 (main, Jun 11 2026, 15:20:16) [GCC 14.3.0]"", ""scikit_learn"": ""1.7.2"", ""torch"": ""2.12.1+cu130"", ""xgboost"": null, ""model_dependency"": null, ""model_source"": ""MAFS paper-aligned feature-selection price-regression adaptation"", ""source_commit"": null, ""data_sha256"": ""B4AF1E478F69FE4BE55C29B5147CA7794CC06BC30823F7A57AE1E5D7DFD98191"", ""finished_at"": ""2026-07-21 12:02:51.824803"", ""n_predictions"": 22488, ""n_metric_rows"": 48, ""n_failures"": 0, ""results_path"": ""results/corn_factors_daily_v2/mafs/2026-07-21-11-59-31-model-catalog-autodl"", ""checkpoints_path"": ""checkpoints/corn_factors_daily_v2/mafs/2026-07-21-11-59-31-model-catalog-autodl"", ""report_path"": ""report/corn_factors_daily_v2/mafs/2026-07-21-11-59-31-model-catalog-autodl""}"
corn_factors_daily_v2,xlinear,formal,PASS,"{""run_id"": ""2026-07-21-12-02-51-model-catalog-autodl"", ""status"": ""COMPLETED"", ""runner"": ""model-catalog-autodl"", ""started_at"": ""2026-07-21 12:02:51.872989"", ""operating_system"": ""Linux-5.15.0-101-generic-x86_64-with-glibc2.35"", ""python"": ""3.11.15 (main, Jun 11 2026, 15:20:16) [GCC 14.3.0]"", ""scikit_learn"": ""1.7.2"", ""torch"": ""2.12.1+cu130"", ""xgboost"": null, ""model_dependency"": null, ""model_source"": ""independent XLinear paper-based price-regression adaptation"", ""source_commit"": null, ""data_sha256"": ""B4AF1E478F69FE4BE55C29B5147CA7794CC06BC30823F7A57AE1E5D7DFD98191"", ""finished_at"": ""2026-07-21 12:04:54.248207"", ""n_predictions"": 22488, ""n_metric_rows"": 48, ""n_failures"": 0, ""results_path"": ""results/corn_factors_daily_v2/xlinear/2026-07-21-12-02-51-model-catalog-autodl"", ""checkpoints_path"": ""checkpoints/corn_factors_daily_v2/xlinear/2026-07-21-12-02-51-model-catalog-autodl"", ""report_path"": ""report/corn_factors_daily_v2/xlinear/2026-07-21-12-02-51-model-catalog-autodl""}"
