"dataset","model","catalog_status","run_id","class_name","tuning_method","fixed_params","horizons","lookbacks","split_ratios","seeds","config_path"
"corn_factors_daily_v2","random_forest","SKIPPED_COMPLETED","2026-07-20-16-27-20-model-catalog-autodl","RandomForestPriceRegressor","grid_search","min_samples_leaf=2; max_features=sqrt; n_jobs=-1","5,10,15,20","5,10,15,20","0.7,0.1,0.2","42,2024,3407","C:\Users\YLHP\Documents\Codex\2026-07-16\https-github-com-z1zddd-corn-price\work\formal-fixed-20260721-pulled\metrics-and-reports\corn_factors_daily_v2\random_forest\2026-07-20-16-27-20-model-catalog-autodl\config_resolved.yaml"
"corn_factors_daily_v2","xgboost","SKIPPED_COMPLETED","2026-07-20-16-31-17-model-catalog-autodl","XGBoostPriceRegressor","grid_search","objective=reg:squarederror; eval_metric=rmse; n_estimators=1200; early_stopping_rounds=60; subsample=0.8; colsample_bytree=0.8; tree_method=hist; device=cuda; n_jobs=-1","5,10,15,20","5,10,15,20","0.7,0.1,0.2","42,2024,3407","C:\Users\YLHP\Documents\Codex\2026-07-16\https-github-com-z1zddd-corn-price\work\formal-fixed-20260721-pulled\metrics-and-reports\corn_factors_daily_v2\xgboost\2026-07-20-16-31-17-model-catalog-autodl\config_resolved.yaml"
"corn_factors_daily_v2","lstm","SKIPPED_COMPLETED","2026-07-20-16-33-41-model-catalog-autodl","LSTMPriceRegressor","grid_search","batch_size=64; max_epochs=60; patience=8; device=cuda","5,10,15,20","5,10,15,20","0.7,0.1,0.2","42,2024,3407","C:\Users\YLHP\Documents\Codex\2026-07-16\https-github-com-z1zddd-corn-price\work\formal-fixed-20260721-pulled\metrics-and-reports\corn_factors_daily_v2\lstm\2026-07-20-16-33-41-model-catalog-autodl\config_resolved.yaml"
"corn_factors_daily_v2","svr","SKIPPED_COMPLETED","2026-07-20-16-38-22-model-catalog-autodl","SVRPriceRegressor","grid_search","kernel=rbf; gamma=scale","5,10,15,20","5,10,15,20","0.7,0.1,0.2","42,2024,3407","C:\Users\YLHP\Documents\Codex\2026-07-16\https-github-com-z1zddd-corn-price\work\formal-fixed-20260721-pulled\metrics-and-reports\corn_factors_daily_v2\svr\2026-07-20-16-38-22-model-catalog-autodl\config_resolved.yaml"
"corn_factors_daily_v2","knn","SKIPPED_COMPLETED","2026-07-20-16-44-44-model-catalog-autodl","KNNPriceRegressor","grid_search","p=2; n_jobs=-1","5,10,15,20","5,10,15,20","0.7,0.1,0.2","42,2024,3407","C:\Users\YLHP\Documents\Codex\2026-07-16\https-github-com-z1zddd-corn-price\work\formal-fixed-20260721-pulled\metrics-and-reports\corn_factors_daily_v2\knn\2026-07-20-16-44-44-model-catalog-autodl\config_resolved.yaml"
"corn_factors_daily_v2","dlinear","SKIPPED_COMPLETED","2026-07-20-19-21-00-zzm","DLinearPriceRegressor","fixed","kernel_size=25; individual=false; learning_rate=0.0005; weight_decay=1.0e-05; batch_size=64; max_epochs=60; patience=8; device=cuda","5,10,15,20","5,10,15,20","0.7,0.1,0.2","42,2024,3407","C:\Users\YLHP\Documents\Codex\2026-07-16\https-github-com-z1zddd-corn-price\work\formal-fixed-20260721-pulled\metrics-and-reports\corn_factors_daily_v2\dlinear\2026-07-20-19-21-00-zzm\config_resolved.yaml"
"corn_factors_daily_v2","lightgbm","PASS","2026-07-21-11-29-40-model-catalog-autodl","LightGBMPriceRegressor","fixed","n_estimators=600; num_leaves=31; learning_rate=0.05; subsample=0.8; colsample_bytree=0.8; n_jobs=-1; verbosity=-1","5,10,15,20","5,10,15,20","0.7,0.1,0.2","42,2024,3407","C:\Users\YLHP\Documents\Codex\2026-07-16\https-github-com-z1zddd-corn-price\work\formal-fixed-20260721-pulled\metrics-and-reports\corn_factors_daily_v2\lightgbm\2026-07-21-11-29-40-model-catalog-autodl\config_resolved.yaml"
"corn_飞天_daily_factors_v2","random_forest","PASS","2026-07-21-11-34-12-model-catalog-autodl","RandomForestPriceRegressor","fixed","n_estimators=600; max_depth=8; min_samples_leaf=2; max_features=sqrt; n_jobs=-1","5,10,15,20","5,10,15,20","0.7,0.1,0.2","42,2024,3407","C:\Users\YLHP\Documents\Codex\2026-07-16\https-github-com-z1zddd-corn-price\work\formal-fixed-20260721-pulled\metrics-and-reports\corn_飞天_daily_factors_v2\random_forest\2026-07-21-11-34-12-model-catalog-autodl\config_resolved.yaml"
"corn_飞天_daily_factors_v2","svr","PASS","2026-07-21-11-35-25-model-catalog-autodl","SVRPriceRegressor","fixed","C=10.0; epsilon=0.1; kernel=rbf; gamma=scale","5,10,15,20","5,10,15,20","0.7,0.1,0.2","42,2024,3407","C:\Users\YLHP\Documents\Codex\2026-07-16\https-github-com-z1zddd-corn-price\work\formal-fixed-20260721-pulled\metrics-and-reports\corn_飞天_daily_factors_v2\svr\2026-07-21-11-35-25-model-catalog-autodl\config_resolved.yaml"
"corn_飞天_daily_factors_v2","knn","PASS","2026-07-21-11-36-15-model-catalog-autodl","KNNPriceRegressor","fixed","n_neighbors=15; weights=distance; p=2; n_jobs=-1","5,10,15,20","5,10,15,20","0.7,0.1,0.2","42,2024,3407","C:\Users\YLHP\Documents\Codex\2026-07-16\https-github-com-z1zddd-corn-price\work\formal-fixed-20260721-pulled\metrics-and-reports\corn_飞天_daily_factors_v2\knn\2026-07-21-11-36-15-model-catalog-autodl\config_resolved.yaml"
"corn_factors_daily_v2","catboost","PASS","2026-07-21-11-29-40-model-catalog-autodl","CatBoostPriceRegressor","fixed","iterations=600; depth=6; learning_rate=0.05; l2_leaf_reg=3.0; loss_function=RMSE; verbose=false; task_type=GPU","5,10,15,20","5,10,15,20","0.7,0.1,0.2","42,2024,3407","C:\Users\YLHP\Documents\Codex\2026-07-16\https-github-com-z1zddd-corn-price\work\formal-fixed-20260721-pulled\metrics-and-reports\corn_factors_daily_v2\catboost\2026-07-21-11-29-40-model-catalog-autodl\config_resolved.yaml"
"corn_factors_daily_v2","rnn","PASS","2026-07-21-11-38-39-model-catalog-autodl","RNNPriceRegressor","fixed","hidden_size=32; learning_rate=0.001; weight_decay=1.0e-05; batch_size=64; max_epochs=40; patience=8; device=cuda","5,10,15,20","5,10,15,20","0.7,0.1,0.2","42,2024,3407","C:\Users\YLHP\Documents\Codex\2026-07-16\https-github-com-z1zddd-corn-price\work\formal-fixed-20260721-pulled\metrics-and-reports\corn_factors_daily_v2\rnn\2026-07-21-11-38-39-model-catalog-autodl\config_resolved.yaml"
"corn_factors_daily_v2","lnn","PASS","2026-07-21-11-41-08-model-catalog-autodl","LNNPriceRegressor","fixed","hidden_size=32; learning_rate=0.001; weight_decay=1.0e-05; batch_size=64; max_epochs=40; patience=8; device=cuda","5,10,15,20","5,10,15,20","0.7,0.1,0.2","42,2024,3407","C:\Users\YLHP\Documents\Codex\2026-07-16\https-github-com-z1zddd-corn-price\work\formal-fixed-20260721-pulled\metrics-and-reports\corn_factors_daily_v2\lnn\2026-07-21-11-41-08-model-catalog-autodl\config_resolved.yaml"
"corn_飞天_daily_factors_v2","gradient_boosting","PASS","2026-07-21-11-36-37-model-catalog-autodl","GradientBoostingPriceRegressor","fixed","n_estimators=300; max_depth=2; learning_rate=0.03; loss=squared_error","5,10,15,20","5,10,15,20","0.7,0.1,0.2","42,2024,3407","C:\Users\YLHP\Documents\Codex\2026-07-16\https-github-com-z1zddd-corn-price\work\formal-fixed-20260721-pulled\metrics-and-reports\corn_飞天_daily_factors_v2\gradient_boosting\2026-07-21-11-36-37-model-catalog-autodl\config_resolved.yaml"
"corn_factors_daily_v2","simpletm","PASS","2026-07-21-11-50-28-model-catalog-autodl","SimpleTMPriceRegressor","fixed","hidden_size=32; learning_rate=0.001; weight_decay=1.0e-05; batch_size=64; max_epochs=40; patience=8; device=cuda","5,10,15,20","5,10,15,20","0.7,0.1,0.2","42,2024,3407","C:\Users\YLHP\Documents\Codex\2026-07-16\https-github-com-z1zddd-corn-price\work\formal-fixed-20260721-pulled\metrics-and-reports\corn_factors_daily_v2\simpletm\2026-07-21-11-50-28-model-catalog-autodl\config_resolved.yaml"
"corn_飞天_daily_factors_v2","lightgbm","PASS","2026-07-21-11-53-50-model-catalog-autodl","LightGBMPriceRegressor","fixed","n_estimators=600; num_leaves=31; learning_rate=0.05; subsample=0.8; colsample_bytree=0.8; n_jobs=-1; verbosity=-1","5,10,15,20","5,10,15,20","0.7,0.1,0.2","42,2024,3407","C:\Users\YLHP\Documents\Codex\2026-07-16\https-github-com-z1zddd-corn-price\work\formal-fixed-20260721-pulled\metrics-and-reports\corn_飞天_daily_factors_v2\lightgbm\2026-07-21-11-53-50-model-catalog-autodl\config_resolved.yaml"
"corn_factors_daily_v2","tcn","PASS","2026-07-21-11-54-16-model-catalog-autodl","TCNPriceRegressor","fixed","hidden_size=32; learning_rate=0.001; weight_decay=1.0e-05; batch_size=64; max_epochs=40; patience=8; device=cuda","5,10,15,20","5,10,15,20","0.7,0.1,0.2","42,2024,3407","C:\Users\YLHP\Documents\Codex\2026-07-16\https-github-com-z1zddd-corn-price\work\formal-fixed-20260721-pulled\metrics-and-reports\corn_factors_daily_v2\tcn\2026-07-21-11-54-16-model-catalog-autodl\config_resolved.yaml"
"corn_factors_daily_v2","raft","PASS","2026-07-21-11-56-57-model-catalog-autodl","RAFTPriceRegressor","fixed","hidden_size=32; learning_rate=0.001; weight_decay=1.0e-05; batch_size=64; max_epochs=40; patience=8; device=cuda","5,10,15,20","5,10,15,20","0.7,0.1,0.2","42,2024,3407","C:\Users\YLHP\Documents\Codex\2026-07-16\https-github-com-z1zddd-corn-price\work\formal-fixed-20260721-pulled\metrics-and-reports\corn_factors_daily_v2\raft\2026-07-21-11-56-57-model-catalog-autodl\config_resolved.yaml"
"corn_factors_daily_v2","mafs","PASS","2026-07-21-11-59-31-model-catalog-autodl","MAFSPriceRegressor","fixed","hidden_size=32; learning_rate=0.001; weight_decay=1.0e-05; batch_size=64; max_epochs=40; patience=8; device=cuda","5,10,15,20","5,10,15,20","0.7,0.1,0.2","42,2024,3407","C:\Users\YLHP\Documents\Codex\2026-07-16\https-github-com-z1zddd-corn-price\work\formal-fixed-20260721-pulled\metrics-and-reports\corn_factors_daily_v2\mafs\2026-07-21-11-59-31-model-catalog-autodl\config_resolved.yaml"
"corn_factors_daily_v2","xlinear","PASS","2026-07-21-12-02-51-model-catalog-autodl","XLinearPriceRegressor","fixed","hidden_size=32; learning_rate=0.001; weight_decay=1.0e-05; batch_size=64; max_epochs=40; patience=8; device=cuda","5,10,15,20","5,10,15,20","0.7,0.1,0.2","42,2024,3407","C:\Users\YLHP\Documents\Codex\2026-07-16\https-github-com-z1zddd-corn-price\work\formal-fixed-20260721-pulled\metrics-and-reports\corn_factors_daily_v2\xlinear\2026-07-21-12-02-51-model-catalog-autodl\config_resolved.yaml"
"corn_factors_daily_v2","patchtst","PASS","2026-07-21-12-04-54-model-catalog-autodl","PatchTSTPriceRegressor","fixed","hidden_size=32; patch_size=5; learning_rate=0.001; weight_decay=1.0e-05; batch_size=64; max_epochs=40; patience=8; device=cuda","5,10,15,20","5,10,15,20","0.7,0.1,0.2","42,2024,3407","C:\Users\YLHP\Documents\Codex\2026-07-16\https-github-com-z1zddd-corn-price\work\formal-fixed-20260721-pulled\metrics-and-reports\corn_factors_daily_v2\patchtst\2026-07-21-12-04-54-model-catalog-autodl\config_resolved.yaml"
"corn_factors_daily_v2","itransformer","PASS","2026-07-21-12-08-45-model-catalog-autodl","ITransformerPriceRegressor","fixed","hidden_size=32; learning_rate=0.001; weight_decay=1.0e-05; batch_size=64; max_epochs=40; patience=8; device=cuda","5,10,15,20","5,10,15,20","0.7,0.1,0.2","42,2024,3407","C:\Users\YLHP\Documents\Codex\2026-07-16\https-github-com-z1zddd-corn-price\work\formal-fixed-20260721-pulled\metrics-and-reports\corn_factors_daily_v2\itransformer\2026-07-21-12-08-45-model-catalog-autodl\config_resolved.yaml"
"corn_飞天_daily_factors_v2","xgboost","PASS","2026-07-21-12-12-47-model-catalog-autodl","XGBoostPriceRegressor","fixed","objective=reg:squarederror; eval_metric=rmse; n_estimators=1200; max_depth=6; learning_rate=0.05; subsample=0.8; colsample_bytree=0.8; tree_method=hist; device=cuda; n_jobs=-1","5,10,15,20","5,10,15,20","0.7,0.1,0.2","42,2024,3407","C:\Users\YLHP\Documents\Codex\2026-07-16\https-github-com-z1zddd-corn-price\work\formal-fixed-20260721-pulled\metrics-and-reports\corn_飞天_daily_factors_v2\xgboost\2026-07-21-12-12-47-model-catalog-autodl\config_resolved.yaml"
"corn_飞天_daily_factors_v2","lstm","PASS","2026-07-21-12-14-53-model-catalog-autodl","LSTMPriceRegressor","fixed","hidden_size=32; learning_rate=0.001; weight_decay=1.0e-05; batch_size=64; max_epochs=40; patience=8; device=cuda","5,10,15,20","5,10,15,20","0.7,0.1,0.2","42,2024,3407","C:\Users\YLHP\Documents\Codex\2026-07-16\https-github-com-z1zddd-corn-price\work\formal-fixed-20260721-pulled\metrics-and-reports\corn_飞天_daily_factors_v2\lstm\2026-07-21-12-14-53-model-catalog-autodl\config_resolved.yaml"
"corn_飞天_daily_factors_v2","catboost","PASS","2026-07-21-12-17-24-model-catalog-autodl","CatBoostPriceRegressor","fixed","iterations=600; depth=6; learning_rate=0.05; l2_leaf_reg=3.0; loss_function=RMSE; verbose=false; task_type=GPU","5,10,15,20","5,10,15,20","0.7,0.1,0.2","42,2024,3407","C:\Users\YLHP\Documents\Codex\2026-07-16\https-github-com-z1zddd-corn-price\work\formal-fixed-20260721-pulled\metrics-and-reports\corn_飞天_daily_factors_v2\catboost\2026-07-21-12-17-24-model-catalog-autodl\config_resolved.yaml"
"corn_飞天_daily_factors_v2","rnn","PASS","2026-07-21-12-22-07-model-catalog-autodl","RNNPriceRegressor","fixed","hidden_size=32; learning_rate=0.001; weight_decay=1.0e-05; batch_size=64; max_epochs=40; patience=8; device=cuda","5,10,15,20","5,10,15,20","0.7,0.1,0.2","42,2024,3407","C:\Users\YLHP\Documents\Codex\2026-07-16\https-github-com-z1zddd-corn-price\work\formal-fixed-20260721-pulled\metrics-and-reports\corn_飞天_daily_factors_v2\rnn\2026-07-21-12-22-07-model-catalog-autodl\config_resolved.yaml"
"corn_飞天_daily_factors_v2","lnn","PASS","2026-07-21-12-24-22-model-catalog-autodl","LNNPriceRegressor","fixed","hidden_size=32; learning_rate=0.001; weight_decay=1.0e-05; batch_size=64; max_epochs=40; patience=8; device=cuda","5,10,15,20","5,10,15,20","0.7,0.1,0.2","42,2024,3407","C:\Users\YLHP\Documents\Codex\2026-07-16\https-github-com-z1zddd-corn-price\work\formal-fixed-20260721-pulled\metrics-and-reports\corn_飞天_daily_factors_v2\lnn\2026-07-21-12-24-22-model-catalog-autodl\config_resolved.yaml"
"corn_飞天_daily_factors_v2","simpletm","PASS","2026-07-21-12-33-12-model-catalog-autodl","SimpleTMPriceRegressor","fixed","hidden_size=32; learning_rate=0.001; weight_decay=1.0e-05; batch_size=64; max_epochs=40; patience=8; device=cuda","5,10,15,20","5,10,15,20","0.7,0.1,0.2","42,2024,3407","C:\Users\YLHP\Documents\Codex\2026-07-16\https-github-com-z1zddd-corn-price\work\formal-fixed-20260721-pulled\metrics-and-reports\corn_飞天_daily_factors_v2\simpletm\2026-07-21-12-33-12-model-catalog-autodl\config_resolved.yaml"
"corn_飞天_daily_factors_v2","tcn","PASS","2026-07-21-12-36-46-model-catalog-autodl","TCNPriceRegressor","fixed","hidden_size=32; learning_rate=0.001; weight_decay=1.0e-05; batch_size=64; max_epochs=40; patience=8; device=cuda","5,10,15,20","5,10,15,20","0.7,0.1,0.2","42,2024,3407","C:\Users\YLHP\Documents\Codex\2026-07-16\https-github-com-z1zddd-corn-price\work\formal-fixed-20260721-pulled\metrics-and-reports\corn_飞天_daily_factors_v2\tcn\2026-07-21-12-36-46-model-catalog-autodl\config_resolved.yaml"
"corn_飞天_daily_factors_v2","raft","PASS","2026-07-21-12-38-49-model-catalog-autodl","RAFTPriceRegressor","fixed","hidden_size=32; learning_rate=0.001; weight_decay=1.0e-05; batch_size=64; max_epochs=40; patience=8; device=cuda","5,10,15,20","5,10,15,20","0.7,0.1,0.2","42,2024,3407","C:\Users\YLHP\Documents\Codex\2026-07-16\https-github-com-z1zddd-corn-price\work\formal-fixed-20260721-pulled\metrics-and-reports\corn_飞天_daily_factors_v2\raft\2026-07-21-12-38-49-model-catalog-autodl\config_resolved.yaml"
"corn_factors_daily_v2","gradient_boosting","PASS","2026-07-21-11-29-40-model-catalog-autodl","GradientBoostingPriceRegressor","fixed","n_estimators=300; max_depth=2; learning_rate=0.03; loss=squared_error","5,10,15,20","5,10,15,20","0.7,0.1,0.2","42,2024,3407","C:\Users\YLHP\Documents\Codex\2026-07-16\https-github-com-z1zddd-corn-price\work\formal-fixed-20260721-pulled\metrics-and-reports\corn_factors_daily_v2\gradient_boosting\2026-07-21-11-29-40-model-catalog-autodl\config_resolved.yaml"
"corn_飞天_daily_factors_v2","mafs","PASS","2026-07-21-12-41-05-model-catalog-autodl","MAFSPriceRegressor","fixed","hidden_size=32; learning_rate=0.001; weight_decay=1.0e-05; batch_size=64; max_epochs=40; patience=8; device=cuda","5,10,15,20","5,10,15,20","0.7,0.1,0.2","42,2024,3407","C:\Users\YLHP\Documents\Codex\2026-07-16\https-github-com-z1zddd-corn-price\work\formal-fixed-20260721-pulled\metrics-and-reports\corn_飞天_daily_factors_v2\mafs\2026-07-21-12-41-05-model-catalog-autodl\config_resolved.yaml"
"corn_飞天_daily_factors_v2","dlinear","PASS","2026-07-21-12-44-06-model-catalog-autodl","DLinearPriceRegressor","fixed","hidden_size=32; learning_rate=0.001; weight_decay=1.0e-05; batch_size=64; max_epochs=40; patience=8; device=cuda","5,10,15,20","5,10,15,20","0.7,0.1,0.2","42,2024,3407","C:\Users\YLHP\Documents\Codex\2026-07-16\https-github-com-z1zddd-corn-price\work\formal-fixed-20260721-pulled\metrics-and-reports\corn_飞天_daily_factors_v2\dlinear\2026-07-21-12-44-06-model-catalog-autodl\config_resolved.yaml"
"corn_飞天_daily_factors_v2","xlinear","PASS","2026-07-21-12-46-02-model-catalog-autodl","XLinearPriceRegressor","fixed","hidden_size=32; learning_rate=0.001; weight_decay=1.0e-05; batch_size=64; max_epochs=40; patience=8; device=cuda","5,10,15,20","5,10,15,20","0.7,0.1,0.2","42,2024,3407","C:\Users\YLHP\Documents\Codex\2026-07-16\https-github-com-z1zddd-corn-price\work\formal-fixed-20260721-pulled\metrics-and-reports\corn_飞天_daily_factors_v2\xlinear\2026-07-21-12-46-02-model-catalog-autodl\config_resolved.yaml"
"corn_飞天_daily_factors_v2","patchtst","PASS","2026-07-21-12-47-42-model-catalog-autodl","PatchTSTPriceRegressor","fixed","hidden_size=32; patch_size=5; learning_rate=0.001; weight_decay=1.0e-05; batch_size=64; max_epochs=40; patience=8; device=cuda","5,10,15,20","5,10,15,20","0.7,0.1,0.2","42,2024,3407","C:\Users\YLHP\Documents\Codex\2026-07-16\https-github-com-z1zddd-corn-price\work\formal-fixed-20260721-pulled\metrics-and-reports\corn_飞天_daily_factors_v2\patchtst\2026-07-21-12-47-42-model-catalog-autodl\config_resolved.yaml"
"corn_飞天_daily_factors_v2","itransformer","PASS","2026-07-21-12-51-16-model-catalog-autodl","ITransformerPriceRegressor","fixed","hidden_size=32; learning_rate=0.001; weight_decay=1.0e-05; batch_size=64; max_epochs=40; patience=8; device=cuda","5,10,15,20","5,10,15,20","0.7,0.1,0.2","42,2024,3407","C:\Users\YLHP\Documents\Codex\2026-07-16\https-github-com-z1zddd-corn-price\work\formal-fixed-20260721-pulled\metrics-and-reports\corn_飞天_daily_factors_v2\itransformer\2026-07-21-12-51-16-model-catalog-autodl\config_resolved.yaml"
