month,dce_corn_close,dce_corn_close_next_month,dce_corn_close_next_month_ret,old_annual_like_spike,new_monthly_spike_abs_ret_ge_median,new_monthly_direction_ret_gt_0
16-Jun,1581.0,1446.0,-0.08538899430740043,0,1.0,0.0
16-Jul,1446.0,1450.0,0.0027662517289073207,0,0.0,1.0
16-Aug,1450.0,1394.0,-0.0386206896551724,0,1.0,0.0
16-Sep,1394.0,1517.0,0.08823529411764697,0,1.0,1.0
16-Oct,1517.0,1544.0,0.017798286090969118,0,0.0,1.0
16-Nov,1544.0,1519.0,-0.016191709844559532,0,0.0,0.0
16-Dec,1519.0,1560.0,0.02699144173798551,0,1.0,1.0
17-Jan,1560.0,1603.0,0.027564102564102466,1,1.0,1.0
17-Feb,1603.0,1672.0,0.04304429195258885,1,1.0,1.0
17-Mar,1672.0,1622.0,-0.029904306220095656,1,1.0,0.0
17-Apr,1622.0,1608.0,-0.008631319358816225,1,0.0,0.0
17-May,1608.0,1687.0,0.04912935323383083,1,1.0,1.0
17-Jun,1687.0,1645.0,-0.024896265560165998,1,0.0,0.0
17-Jul,1645.0,1687.0,0.025531914893617058,1,0.0,1.0
17-Aug,1687.0,1693.0,0.003556609365737984,1,0.0,1.0
17-Sep,1693.0,1657.0,-0.021264028352037778,1,0.0,0.0
17-Oct,1657.0,1715.0,0.035003017501508804,1,1.0,1.0
17-Nov,1715.0,1816.0,0.05889212827988333,1,1.0,1.0
17-Dec,1816.0,1788.0,-0.01541850220264318,1,0.0,0.0
18-Jan,1788.0,1830.0,0.02348993288590595,1,0.0,1.0
18-Feb,1830.0,1744.0,-0.04699453551912569,1,1.0,0.0
18-Mar,1744.0,1731.0,-0.007454128440366969,1,0.0,0.0
18-Apr,1731.0,1777.0,0.026574234546504982,1,1.0,1.0
18-May,1777.0,1787.0,0.00562746201463149,1,0.0,1.0
18-Jun,1787.0,1854.0,0.03749300503637376,1,1.0,1.0
18-Jul,1854.0,1904.0,0.026968716289104577,1,1.0,1.0
18-Aug,1904.0,1847.0,-0.02993697478991597,1,1.0,0.0
18-Sep,1847.0,1891.0,0.02382241472658375,1,0.0,1.0
18-Oct,1891.0,1953.0,0.032786885245901676,1,1.0,1.0
18-Nov,1953.0,1869.0,-0.043010752688172005,1,1.0,0.0
18-Dec,1869.0,1863.0,-0.0032102728731941976,1,0.0,0.0
19-Jan,1863.0,1821.0,-0.02254428341384862,0,0.0,0.0
19-Feb,1821.0,1844.0,0.012630422844590816,0,0.0,1.0
19-Mar,1844.0,1916.0,0.0390455531453362,0,1.0,1.0
19-Apr,1916.0,1971.0,0.028705636743215024,0,1.0,1.0
19-May,1971.0,1948.0,-0.011669203450025423,0,0.0,0.0
19-Jun,1948.0,1930.0,-0.00924024640657084,0,0.0,0.0
19-Jul,1930.0,1871.0,-0.030569948186528473,0,1.0,0.0
19-Aug,1871.0,1823.0,-0.0256547300908605,0,0.0,0.0
19-Sep,1823.0,1873.0,0.027427317608337942,0,1.0,1.0
19-Oct,1873.0,1830.0,-0.02295782167645488,0,0.0,0.0
19-Nov,1830.0,1910.0,0.04371584699453557,0,1.0,1.0
19-Dec,1910.0,1912.0,0.0010471204188482464,0,0.0,1.0
20-Jan,1912.0,1922.0,0.0052301255230124966,1,0.0,1.0
20-Feb,1922.0,2048.0,0.0655567117585849,1,1.0,1.0
20-Mar,2048.0,2074.0,0.0126953125,1,0.0,1.0
20-Apr,2074.0,2078.0,0.0019286403085825299,1,0.0,1.0
20-May,2078.0,2090.0,0.005774783445620768,1,0.0,1.0
20-Jun,2090.0,2323.0,0.11148325358851685,1,1.0,1.0
20-Jul,2323.0,2262.0,-0.02625914765389581,1,1.0,0.0
20-Aug,2262.0,2468.0,0.09106984969053933,1,1.0,1.0
20-Sep,2468.0,2621.0,0.06199351701782829,1,1.0,1.0
20-Oct,2621.0,2601.0,-0.007630675314765356,1,0.0,0.0
20-Nov,2601.0,2742.0,0.05420991926182239,1,1.0,1.0
20-Dec,2742.0,2714.0,-0.010211524434719177,1,0.0,0.0
21-Jan,2714.0,2777.0,0.02321296978629328,1,0.0,1.0
21-Feb,2777.0,2631.0,-0.05257472092185811,1,1.0,0.0
21-Mar,2631.0,2733.0,0.03876852907639683,1,1.0,1.0
21-Apr,2733.0,2666.0,-0.02451518477863157,1,0.0,0.0
21-May,2666.0,2613.0,-0.01987996999249808,1,0.0,0.0
21-Jun,2613.0,2573.0,-0.015308075009567546,1,0.0,0.0
21-Jul,2573.0,2487.0,-0.03342401865526623,1,1.0,0.0
21-Aug,2487.0,2520.0,0.013268998793727338,1,0.0,1.0
21-Sep,2520.0,2627.0,0.04246031746031753,1,1.0,1.0
21-Oct,2627.0,2645.0,0.00685192234488019,1,0.0,1.0
21-Nov,2645.0,2672.0,0.010207939508506625,1,0.0,1.0
21-Dec,2672.0,2763.0,0.03405688622754499,1,1.0,1.0
22-Jan,2763.0,2856.0,0.03365906623235615,1,1.0,1.0
22-Feb,2856.0,2840.0,-0.0056022408963585235,1,0.0,0.0
22-Mar,2840.0,3044.0,0.07183098591549286,1,1.0,1.0
22-Apr,3044.0,2935.0,-0.03580814717476999,1,1.0,0.0
22-May,2935.0,2780.0,-0.05281090289608181,1,1.0,0.0
22-Jun,2780.0,2670.0,-0.03956834532374098,1,1.0,0.0
22-Jul,2670.0,2797.0,0.04756554307116101,1,1.0,1.0
22-Aug,2797.0,2773.0,-0.008580622095101909,1,0.0,0.0
22-Sep,2773.0,2885.0,0.040389469888207685,1,1.0,1.0
22-Oct,2885.0,2908.0,0.007972270363951539,1,0.0,1.0
22-Nov,2908.0,2824.0,-0.028885832187070193,1,1.0,0.0
22-Dec,2824.0,2842.0,0.006373937677053743,1,0.0,1.0
23-Jan,2842.0,2837.0,-0.0017593244194229474,0,0.0,0.0
23-Feb,2837.0,2724.0,-0.03983080719069443,0,1.0,0.0
23-Mar,2724.0,2644.0,-0.029368575624082238,0,1.0,0.0
23-Apr,2644.0,2633.0,-0.004160363086233021,0,0.0,0.0
23-May,2633.0,2728.0,0.03608051652107869,0,1.0,1.0
23-Jun,2728.0,2715.0,-0.004765395894428148,0,0.0,0.0
23-Jul,2715.0,2733.0,0.006629834254143541,0,0.0,1.0
23-Aug,2733.0,2628.0,-0.03841931942919863,0,1.0,0.0
23-Sep,2628.0,2539.0,-0.03386605783866059,0,1.0,0.0
23-Oct,2539.0,2501.0,-0.014966522252855441,0,0.0,0.0
23-Nov,2501.0,2413.0,-0.035185925629748094,0,1.0,0.0
23-Dec,2413.0,2390.0,-0.009531703273932823,0,0.0,0.0
24-Jan,2390.0,2462.0,0.030125523012552335,0,1.0,1.0
24-Feb,2462.0,2415.0,-0.019090170593013767,0,0.0,0.0
24-Mar,2415.0,2388.0,-0.011180124223602483,0,0.0,0.0
24-Apr,2388.0,2434.0,0.019262981574539317,0,0.0,1.0
24-May,2434.0,2509.0,0.030813475760065767,0,1.0,1.0
24-Jun,2509.0,2351.0,-0.06297329613391789,0,1.0,0.0
24-Jul,2351.0,2338.0,-0.005529561888558021,0,0.0,0.0
24-Aug,2338.0,2225.0,-0.048331907613344716,0,1.0,0.0
24-Sep,2225.0,2248.0,0.010337078651685427,0,0.0,1.0
24-Oct,2248.0,2163.0,-0.037811387900355875,0,1.0,0.0
24-Nov,2163.0,2229.0,0.030513176144244092,0,1.0,1.0
24-Dec,2229.0,2283.0,0.024226110363391617,0,0.0,1.0
25-Jan,2283.0,2292.0,0.003942181340341744,0,0.0,1.0
25-Feb,2292.0,2251.0,-0.017888307155322858,0,0.0,0.0
25-Mar,2251.0,2377.0,0.05597512216792544,0,1.0,1.0
25-Apr,2377.0,2336.0,-0.01724863273033239,0,0.0,0.0
25-May,2336.0,2378.0,0.017979452054794454,0,0.0,1.0
25-Jun,2378.0,2288.0,-0.037846930193439876,0,1.0,0.0
25-Jul,2288.0,2191.0,-0.042395104895104896,0,1.0,0.0
25-Aug,2191.0,2143.0,-0.021907804655408536,0,0.0,0.0
25-Sep,2143.0,2130.0,-0.006066262249183385,0,0.0,0.0
25-Oct,2130.0,2244.0,0.05352112676056331,0,1.0,1.0
25-Nov,2244.0,2226.0,-0.008021390374331583,0,0.0,0.0
25-Dec,2226.0,2271.0,0.020215633423180668,0,0.0,1.0
26-Jan,2271.0,2360.0,0.039189784236019376,0,1.0,1.0
26-Feb,2360.0,2351.0,-0.003813559322033866,0,0.0,0.0
26-Mar,2351.0,2427.0,0.03232666950233942,0,1.0,1.0
26-Apr,2427.0,2322.0,-0.04326328800988877,0,1.0,0.0
26-May,2322.0,2323.0,0.00043066322136087187,0,0.0,1.0
26-Jun,2323.0,,,0,,
